id,text,category,lowLabel,highLabel,flipValue,flagged
1765439020936,"How steady and reliable is your energy from morning to night?","Energy & Focus","Disagree","Agree",false,false
1765438970522,"How well do you bounce back from stress or overwhelm?"," Stress Management","Disagree","Agree",false,false
1765438873849,"I understand how food and drink affect me","Nutrition","Disagree","Agree",false,false
1765439161125,"How well do you maintain routines when life gets busy?","Consistency & Habits","Disagree","Agree",false,false
1765438943592,"How often do you stretch, mobilise, or work on posture?","Movement (mobility and stability)","Disagree","Agree",false,false
1765438983548,"How in control do you feel of your emotional state day-to-day?"," Stress Management","At the whims of chaos","Locked in",false,false
1765438960413,"If I were told to jump, stand on one leg, and squat right now, I can do it easily.","Movement (mobility and stability)","Disagree","Agree",false,false
1765438952145,"I have no issues getting through my daily physical activities.","Movement (mobility and stability)","Disagree","Agree",false,false
1765439117619,"How much do you feel like you're operating as your “higher self”?","Purpose & Mindset","Disagree","Agree",false,false
1765438926163,"I stop eating at least 3 hours before bedtime.","Recovery and Sleep","Disagree","Agree",false,false
1765439025729,"I am mentally clear and focused throughout the day.","Energy & Focus","Disagree","Agree",false,false
1765438993522,"I have a high tolerance to stressful situations."," Stress Management","Disagree","Agree",false,false
1765438978139,"How effectively do you manage stress without turning to food/alcohol?"," Stress Management","Ineffective","Effective",false,false
1765439086402,"Walking all day does not affect how I feel the next day."," Cardio & Conditioning","Disagree","Agree",false,false
1765439169371,"How reliable are you at following through on promises you make to yourself?","Consistency & Habits","Disagree","Agree",false,false
1765438921755,"How effectively do you manage soreness, mobility, and downtime?","Recovery and Sleep","Disagree","Agree",false,false
1765439093961,"Walking up 2 flights of stairs is easy."," Cardio & Conditioning","Disagree","Agree",false,false
1765439047981,"I can confidently look at myself in the bathroom mirror naked.","Strength and Physique","Disagree","Agree",false,false
1765438870431,"I rarely indulge in comfort foods.","Nutrition","Disagree","Agree",false,false
1765439029197,"How physically energetic do you feel during everyday tasks?","Energy & Focus","Disagree","Agree",false,false
1765438915410,"How often do you wake up refreshed without relying on caffeine?","Recovery and Sleep","Disagree","Agree",false,true
1765439114204,"I can change my lifestyle habits to achieve my goals.","Purpose & Mindset","Disagree","Agree",false,false
1765439129097,"How understanding are the people around you during your journey?","Support Systems","Disagree","Agree",false,true
1765439165299,"How often do weekends undo your weekday progress?","Consistency & Habits","Disagree","Agree",false,true
1765438947638,"I move without pain or discomfort right after waking up.","Movement (mobility and stability)","Disagree","Agree",false,false
1765439101628,"How clear are you on why you want to transform your health?","Purpose & Mindset","Unclear","Laser focused",false,false
1765438828807,"I can control my hunger signals.","Nutrition","Disagree","Agree",false,true
1765439076574,"I can hit 8000 steps every single day."," Cardio & Conditioning","Disagree","Agree",false,false
1765439105820,"I am willing to make sacrifices and say no to things that will slow down my progress.","Purpose & Mindset","Disagree","Agree",false,false
1765439081018," How well do you recover your breath after short intense efforts?"," Cardio & Conditioning","Disagree","Agree",false,false
1765439090143,"How confident do you feel in your heart health and endurance?"," Cardio & Conditioning","Disagree","Agree",false,false
1765439063744,"I feel strong and stable when performing my daily tasks.","Strength and Physique","Disagree","Agree",false,false
1765439042555,"I am happy with the way my body looks and feels.","Strength and Physique","Disagree","Agree",false,false
1765438939493,"How free and comfortable do your joints feel during daily life?","Movement (mobility and stability)","Disagree","Agree",false,false
1765439058306,"I know how to select exercises for my specific goals and needs.","Strength and Physique","Disagree","Agree",false,false
1765438864269,"Do you have a consistent eating time for every meal?","Nutrition","Disagree","Agree",false,true
1765438888936,"I go to bed and wake up at a consistent and predictable time.","Recovery and Sleep","Disagree","Agree",false,false
1765439125403,"My friends and family support me on my fitness journey.","Support Systems","Disagree","Agree",false,false
1765438844129,"I drink enough water every single day","Nutrition","Disagree","Agree",false,false
1765439034415,"I still eat well and workout when I have low energy because it’s my routine.","Energy & Focus","Disagree","Agree",false,false
1765438908960,"I have downtime activities that I enjoy.","Recovery and Sleep","Disagree","Agree",false,false
1765439136159,"How structured is your lifestyle to make healthy choices easy?","Support Systems","Not at all","Very",false,false
1765439110828,"I have an internal ‘why’ that pushes me to my goals.","Purpose & Mindset","Disagree","Agree",false,true
1765439141384,"I can easily manage social events without compromising on my nutrition and recovery.","Support Systems","Disagree","Agree",false,false
1765439147270,"I have ways to keep myself accountable.","Support Systems","Disagree","Agree",false,false
1765438858161,"I know what my body needs and eat in accordance with it.","Nutrition","Disagree","Agree",false,false
1765439156784,"How consistent are you with your health habits on a weekly basis?","Consistency & Habits","Disagree","Agree",false,false
1765438884683,"How restful and energising is your sleep most nights?","Recovery and Sleep","Disagree","Agree",false,false
1765439052996,"How strong do you feel in basic movements (push, pull, squat, hinge)?","Strength and Physique","Disagree","Agree",false,false
1765438988045,"I am aware of my body’s signals when it is overworked."," Stress Management","Disagree","Agree",false,false
1765448461427,"How well do you track your health habits?","Consistency & Habits","Not very well","Very well",false,false
